,the,of,to,and,in,a,be,that,it,is,which,as,by,this,would,have,or,for,not,will,their,with,from,are,an,they,on,states,been,government,may,state,all,but,its,power,has,other,if,at,more,than,them,any,one,people,no,those,there,we
the,0.0,0.24932249322493225,0.12286689419795221,0.041666666666666664,0.2621951219512195,0.0,0.05,0.15333333333333335,0.007246376811594203,0.07017543859649122,0.07142857142857142,0.12871287128712872,0.19753086419753085,0.0,0.029411764705882353,0.03773584905660377,0.044444444444444446,0.19298245614035087,0.015384615384615385,0.013888888888888888,0.0,0.1,0.2,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.045454545454545456,0.0,0.05,0.13043478260869565,0.07317073170731708,0.0,0.0,0.058823529411764705,0.0,0.21875,0.0,0.0,0.09090909090909091,0.14893617021276595,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0
of,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.00625,0.03333333333333333,0.0,0.03508771929824561,0.017857142857142856,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.11363636363636365,0.0,0.45,0.043478260869565216,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.09090909090909091,0.06666666666666667,0.3191489361702128,0.0,0.027777777777777776,0.0,0.0
to,0.0,0.0,0.0,0.01715686274509804,0.0,0.0,0.0125,0.006666666666666667,0.0,0.03508771929824561,0.0,0.0594059405940594,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.05263157894736842,0.0,0.022727272727272728,0.0,0.0,0.0,0.07317073170731708,0.0,0.21052631578947367,0.0,0.0,0.03125,0.0,0.08695652173913043,0.06060606060606061,0.0851063829787234,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.041666666666666664
and,0.0,0.0,0.0034129692832764505,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.011494252873563218,0.0,0.15789473684210525,0.0,0.022727272727272728,0.029411764705882353,0.05,0.0,0.0,0.0,0.05263157894736842,0.0,0.03333333333333333,0.0,0.0,0.043478260869565216,0.0,0.1276595744680851,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0
in,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.025,0.02,0.021739130434782608,0.0,0.03571428571428571,0.0297029702970297,0.0,0.0,0.014705882352941176,0.0,0.022222222222222223,0.0,0.015384615384615385,0.013888888888888888,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.04878048780487805,0.0,0.10526315789473684,0.1764705882352941,0.0,0.0,0.0,0.043478260869565216,0.0,0.0425531914893617,0.0,0.0,0.0851063829787234,0.0,0.027777777777777776,0.0,0.0
a,0.0,0.018970189701897018,0.013651877133105802,0.012254901960784314,0.06097560975609756,0.0,0.018750000000000003,0.02,0.007246376811594203,0.017543859649122806,0.017857142857142856,0.0594059405940594,0.04938271604938271,0.0,0.0,0.018867924528301886,0.0,0.08771929824561403,0.046153846153846156,0.0,0.0,0.016666666666666666,0.04,0.018867924528301886,0.0,0.0,0.022727272727272728,0.05263157894736842,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be,0.0,0.0,0.07508532423208192,0.004901960784313725,0.0,0.0,0.00625,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.22058823529411764,0.0,0.011111111111111112,0.0,0.18461538461538463,0.3055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
that,0.0,0.013550135501355014,0.006825938566552901,0.024509803921568627,0.03048780487804878,0.0,0.0,0.0,0.007246376811594203,0.03508771929824561,0.017857142857142856,0.0,0.0,0.02631578947368421,0.014705882352941176,0.0,0.011111111111111112,0.017543859649122806,0.0,0.0,0.0,0.016666666666666666,0.02,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it,0.0,0.008130081300813007,0.013651877133105802,0.0196078431372549,0.012195121951219513,0.0,0.0,0.04666666666666667,0.007246376811594203,0.017543859649122806,0.05357142857142857,0.06930693069306931,0.037037037037037035,0.0,0.014705882352941176,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.016666666666666666,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0
is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318840579710145,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
