file,pure_text,word_count
nemec-g/sent_items/1.,"Jim, I am not sure who handled the operating permits.  I think that type of stuff was usually handled by someone in the gas pipeline group.",26
nemec-g/sent_items/10.,"Cindy,  Attached is the revised confirm with my changes redlined.  Let me know if this covers Nelson's concerns.",18
nemec-g/sent_items/100.,Please see attached.  Thanks in advance.,6
nemec-g/sent_items/101.,"Sorry to bug you, but I have one more.",9
nemec-g/sent_items/102.,"Kay,  Please see the attached.  I also forwarded a Data sheet earlier on Marathon Oil.  Have you had a chance to review yet?",23
nemec-g/sent_items/103.,Please see attached.  Thanks.,4
nemec-g/sent_items/104.,"Kay, Please see attached.",4
nemec-g/sent_items/105.,"Kay,  Please see attached.",4
nemec-g/sent_items/108.,"Kay,  Please see the attached.",5
nemec-g/sent_items/109.,Sorry about the delay.  I have just been covered up.  Here it is.,13
nemec-g/sent_items/11.,"Rudwell,  Attached is the executable form of the guaranty.  Please fill in the Cargill information and forward to Bridgeline for execution.  Also, I didn't know what the effective date should be.  Let me know if you have any questions.",39
nemec-g/sent_items/110.,"Attached is a clean and redlined version of the Enfolio Master for the Ocean transaction.  The redline reflects the changes from the original draft.  Also attached is a clean version of the Transaction Agreement.  Please review and if acceptable, please forward to Ocean for their review.",46
nemec-g/sent_items/111.,"Jeff,  Attached is the redline from your earlier revisions.",9
nemec-g/sent_items/112.,"Jeff,  Shane Lakho is currently preparing several TPA for Enron Energy Services and another EES entity.  I know that portions of EES are rolling into wholesale.  Should we be initialing for EES?  The agreements are Enron's standard TPA form so there shouldn't be any issues.",45
nemec-g/sent_items/113.,"Russell,  The data you requested last week concerning the motor is as follows:

1.  Full Load MVA rating:  11.4 for each unit
2.  Across the line starting MVA:  43.8 for each unit
3.  Input Voltage:  12 KVA",37
nemec-g/sent_items/114.,"Hey Walter,  Thanks for stopping and leaving the note.  I'm glad I got to know you at the happy hours.  We will have to schedule another Gallant Knight evening sometime soon.  Good luck to you as well.  Take care.",39
nemec-g/sent_items/115.,"I was in Austin for most of the weekend.  A friend of mine was supposed to have a boat party on Lake Travis Friday night, but that was cancelled due to the rain.  We just went out on 4th Street instead.  Went to the game Sat. night.  We won so that was good.  How was the girls road trip?",59
nemec-g/sent_items/116.,"I am fine with the change.  Mary, please prepare executables and make the change in the NUI document as well.",20
nemec-g/sent_items/117.,"GT,  I will have an extra ticket for the game this weekend.  My friend who was going to go back out.  It is yours if you want to use it.  Let me know.",33
nemec-g/sent_items/119.,The contracts for the notice letters.,6
nemec-g/sent_items/12.,"Rudwell,  Attached is a redline of the guaranty with my comments.  Specifically they are:

	1.  I am OK with including reasonable attorney fees, but they must be included in the $2.5 million dollar cap.  
	2.  The use of subtantially in Paragraph 2 seems redundant.  The notice requires reasonable detail.  To add subtantial compliance on top of that is redundant.
	
I am OK with the other changes.  Please review and let me know if you have any questions.",77
nemec-g/sent_items/120.,"Sounds like I need to take gambling lessons from you.  I consistently lose money when I gamble.   
 
 Do you have Tristan's email address?  Wanted to see if we could hook up in Austin for some Longhorn celebration.",37
nemec-g/sent_items/121.,FYI,1
nemec-g/sent_items/122.,"Rudwell,  Attached is the guaranty with my comments redlined.  Please review and forward.  If you have any questions, please call me at x-33512.",23
nemec-g/sent_items/123.,Attached is the Burlington guaranty with my comments.  I was unable to redline the doc.  Computer problems.  I am forwarding the clean version.  Hopefully Burlington can redline against the draft they sent.,32
nemec-g/sent_items/124.,"Ned,  I am fine with all of their changes.  Attached is a clean version reflects their changes.  Ask them to print out two copies and execute.",26
nemec-g/sent_items/125.,"Frank,  Attached for your review is a draft of the settlement agreement we discussed.",14
nemec-g/sent_items/126.,Attached is the letter.  The address information and Unocal's full name need to be inserted and then print two copies on ENA letterhead for execution.,25
nemec-g/sent_items/127.,"I have reviewed the term sheet and I am fine with the form.  

I did spot a potential issue with the Transport piece of the proposal.  If ENA holds transport on NNG, it cannot simply sell use of that capacity to Unocal.  The shipper of record with NNG needs to hold title to the gas that is being transported.  For Unocal to utilize this capacity, they would need to either directly contract with NNG for such capacity, or ENA would acquire the capacity then ""Capacity Release"" the capacity to Unocal.  The Capacity Release would be subject to NNG bulletin board posting requirements.    Let me know if you want to discuss further.",111
nemec-g/sent_items/128.,"Frank,  Attached is the letter with the revised Section 2.  I also added some language to the beginning of Section 5 to make it clear how that Section operates with Section 2.",32
nemec-g/sent_items/129.,"David,  Attached is the document with the insurance mark-ups that I noted on my voice mail.  Please review and lets discuss.",21
nemec-g/sent_items/13.,Extension of Kennedy Wyoming Gas Purchase. FYI,7
nemec-g/sent_items/130.,"Frank, I made a few tweaks.  Please review.",8
nemec-g/sent_items/131.,"Gary,  Can you give me a scope of the issues we need to address in this CA.  Thanks.",18
nemec-g/sent_items/132.,Attached is the some of amendment info we discussed last week.  Looks like they want to get this out this week.,21
nemec-g/sent_items/133.,It will be in 38C1 beginning at 11 am CT tommorrow.,11
nemec-g/sent_items/135.,"Per Gary Bryan's request, attached is a Confidentiality Agreement form for your review.",13
